City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Umm Lajj,SA,25.0213,37.2685,69.48,30,0,2.71,clear sky
292,Viedma,AR,-40.8135,-62.9967,81.97,17,0,12.59,clear sky
293,Jackson,US,42.4165,-122.8345,51.04,100,100,4.61,mist
294,Moctezuma,MX,29.8,-109.6667,62.91,29,0,3.96,clear sky
295,Bubaque,GW,11.2833,-15.8333,79.32,72,90,11.12,overcast clouds
296,Lodwar,KE,3.1191,35.5973,85.89,38,100,3.02,overcast clouds
297,Mar Del Plata,AR,-38.0023,-57.5575,80.1,94,100,1.99,overcast clouds
298,Oranjemund,NA,-28.55,16.4333,74.79,65,100,5.1,overcast clouds
299,Kununurra,AU,-15.7667,128.7333,76.98,100,40,3.44,scattered clouds
300,Den Helder,NL,52.9599,4.7593,44.58,88,100,11.99,overcast clouds
301,Robat Karim,IR,35.4846,51.0829,30.06,33,0,10.13,clear sky
302,Yulara,AU,-25.2406,130.9889,75.04,88,0,5.75,clear sky
303,Longyearbyen,SJ,78.2186,15.6401,24.64,68,75,18.41,broken clouds
304,Killybegs,IE,54.6333,-8.45,46.11,82,100,9.89,overcast clouds
305,Northam,GB,51.0333,-4.2167,43.39,74,100,9.22,overcast clouds
306,Coquimbo,CL,-29.9533,-71.3436,67.73,59,0,14.97,clear sky
307,Juba,SS,4.8517,31.5825,82.44,25,100,3.11,overcast clouds
308,Abengourou,CI,6.7297,-3.4964,77.5,24,0,2.1,clear sky
309,Lompoc,US,34.6391,-120.4579,69.13,54,0,4.61,clear sky
310,Lulea,SE,65.5842,22.1547,14.07,79,0,8.05,clear sky
311,Fairbanks,US,64.8378,-147.7164,10.6,81,100,3.44,overcast clouds
312,Nemuro,JP,43.3236,145.575,28.15,75,100,23.17,overcast clouds
313,Namie,JP,37.4833,141.0,34.72,81,100,6.02,overcast clouds
314,Jalu,LY,29.0331,21.5482,54.75,43,2,5.06,clear sky
315,Shimoda,JP,34.6667,138.95,39.81,64,94,0.67,overcast clouds
316,Samarai,PG,-10.6167,150.6667,79.93,80,100,7.23,overcast clouds
317,Bambanglipuro,ID,-7.95,110.2833,76.33,89,86,6.85,overcast clouds
318,Viareggio,IT,43.8735,10.2558,46.04,71,21,6.87,few clouds
319,Amapa,BR,1.0,-52.0,78.67,93,67,3.76,broken clouds
320,Road Town,VG,18.4167,-64.6167,82.49,74,40,14.97,scattered clouds
321,Hofn,IS,64.2539,-15.2082,38.21,70,14,18.43,few clouds
322,Mount Isa,AU,-20.7333,139.5,76.77,88,100,1.14,overcast clouds
323,Muisne,EC,0.6,-80.0333,82.51,77,100,9.84,overcast clouds
324,Seoul,KR,37.5683,126.9778,22.44,30,100,0.83,overcast clouds
325,Kharagpur,IN,22.3333,87.3333,65.57,81,9,3.69,clear sky
326,Bilibino,RU,68.0546,166.4372,-32.19,81,4,2.33,clear sky
327,Kota Kinabalu,MY,5.9749,116.0724,76.98,94,20,3.44,few clouds
328,Leirvik,NO,59.7798,5.5005,45.01,100,75,13.8,mist
329,Khalkhal,IR,37.6189,48.5258,7.47,69,2,2.06,clear sky
330,Anjiang,CN,27.3194,110.1031,47.95,97,100,3.06,light rain
331,Sefophe,BW,-22.1833,27.9667,75.51,32,0,13.02,clear sky
332,Klamath Falls,US,42.2249,-121.7817,39.87,69,0,5.01,clear sky
333,Uyemskiy,RU,64.4743,40.8524,30.25,93,100,4.47,overcast clouds
334,Genhe,CN,50.7833,121.5167,1.02,91,100,1.43,overcast clouds
335,Sangin,AF,32.0728,64.8359,41.79,68,28,13.56,scattered clouds
336,Srednekolymsk,RU,67.45,153.6833,-44.23,98,59,6.51,broken clouds
337,Camocim,BR,-2.9022,-40.8411,86.13,64,26,16.71,scattered clouds
338,Poum,NC,-20.2333,164.0167,81.09,78,19,13.31,few clouds
339,Saint-Orens-De-Gameville,FR,43.554,1.5341,37.62,75,0,8.05,clear sky
340,Belyy Yar,RU,53.6039,91.3903,-14.91,84,100,0.0,smoke
341,Komsomolskiy,UZ,40.4272,71.7189,35.02,74,100,4.61,overcast clouds
342,Ketchikan,US,55.3422,-131.6461,43.27,93,100,16.11,light rain
343,Kavaratti,IN,10.5669,72.642,80.11,69,67,11.05,broken clouds
